medical,simple
It is relieved with standing and ambulation and exacerbated when lying in a supine position .,it gets better with standing and walking and gets worse when lying flat
She states that she feels `` abandoned. ``,she feels that she has been left alone
He presents today for followup .,he came today for a follow up appointment
Deep tendon reflexes are 2+ bilaterally in lower extremities .,reflexes are normal in both legs
"In the meantime , she had been scheduled for an overnight sleep study performed to evaluate her for sleep apnea , returns today to review her study results .","in the meantime she has booked for an overnight sleep study to check her sleep for problems breathing, and comes back today with the results"
NEUROLOGIC : I can not assess at this time .,unable to check the nerves
"He denied nausea , vomiting , diarrhea , or dysuria .","he said he did not feel sick, vomitting, watery poo and pain when peeing"
The patient denies any recent illness or injuries .,the patient says they have not had any recent illness or injuries
"He has had normal development , and is a bright child in 7th grade .",he has normal development and is a bright child in 7th grade
It often first appears between the toes .,It often first appears between the toes
They subsequently resolve on their own and do not limit her in anyway .,they end up getting better on their own and do not slop her from doing things
The inner nasal area was then examined at the termination of the case and it seemed to be hemostatic as well .,"the inside of the nose was looked at, at the end of the operation and it was not bleeding as well"
Delivery was via spontaneous vaginal delivery .,gave birth via the vagina without the use of drugs to induce labour.
There has been a note that she is constipated .,there has been a note that she find it hard to poo
The patient was then transferred from the operating table to the gurney .,the patient was then moved from the operating table to the stretcher
"Regarding her heart murmur , we are going to proceed with an echocardiogram .","regarding her heart sound, we are going to proceed with a recording of heart electrical activity"
CC : Stable expressive aphasia and decreased vision .,stable partial loss of the ability to speak or write and reduced vision
"GENERAL : Well-developed , well-nourished male in no acute distress .","general : well developed, well fed male in no immeditate pain"
Sample Name : Completion Thyroidectomy,sample Name: removal of the remaining thyroid
"Fourth , this young man had both localized and systemic symptoms .","fourth, this young man have both symptoms affecting the entire body and the small area"
The liver edge is palpable 4 cm below right costal margin .,the edge of the liver was 4cm below the lower edge of the chest
INDICATIONS : This 1-year-old child had a gastrostomy placed due to feeding difficulties .,INDICATIONS: This 1 year old child had a artificial external opening in to the stomach placed due to feeding difficulties
He states he has difficulty with prolonged standing or sitting .,he states he has problems with standing or sitting for long periods of time
"REVIEW OF SYSTEMS : Positive for fatigue , sweats , and weight gain of 20 pounds .","REVIEW OF SYSTEMS : has sleepiness, sweating and weight gain of 20 pounds"
She does perseverate and is very emotional due to probable frustration .,she does repeat things and is very emotional due to probable frustration
"PROCEDURE : Informed consent was obtained prior to the procedure with special attention to benefits , risks , alternatives .","PROCEDURE : Informed consent was obtained before the procedure with special attention to benafits, risks, alternatives"
"He was diagnosed with tinea pedis previously , but he is about out of the Nizoral cream .","He was diagnosed with athletes foot, but he is about out of the Nizoral cream."
INDICATIONS : Patient is a pleasant 75-year-old gentleman who is about one week status post an acute heart attack who also has acute cholecystitis .,INDICATIONS : patient is a pleasent 75-year-old gentleman who is about one week status after an heart attack who also had sudden inflammation of the gall bladder
"Following removal of additional hematoma , the bed of the hematoma site was lined with Surgicel .","following removal of additional blood clot, the bed of the blood clot site was lined with dressing."
It sounds like he is snoring loudly and does have some nasal obstruction at nighttime .,it sounds like he is snoring loudly and does have some blocked nose at nighttime
He had been diagnosed with osteoarthritis of the knees and had undergone arthroscopy years prior to admission .,he had been diagnosed with osteoarthritis of the knees and had undergone a camera procedure years before the admission
The vomiting continued every 30 minutes and she developed neck stiffness .,the vomiting continued every 30 minutes and she developed neck stiffness.
He has one sister who died during a cardiac surgery two years ago .,he has one sister who died during a heart surgery two years ago
"The pancreas , spleen , and liver were unremarkable .","the pancreas, spleen, and liver were normal."
No obvious adenopathy is noted to the neck .,no obvious swelling was found in the neck
"past medical history : 1 ) appendectomy , 2 ) tonsillectomy , 3 ) childhood pneumonia , 4 ) allergy to sulfa drugs .","past medical history : 1) removal of appendix , 2) removal of tonsils, 3) childhood chest infrections 4) allergy to sulfa drugs"
"The patient also had an abdominal x-ray , which showed nonspecific bowel gas pattern .","the patient also had a belly x-ray, which showed a unspecific gas pattern"
There was no evidence of LUE upward drift .,there was no evidence of left upper arm upward drift
Gait : unsteady and wide-based .,walking : unsteady and wide
Sample Name : Hyperbilirubinemia - 4-day-old,Sample Name : high bilirubin in 4 day old
"SOCIAL HISTORY : Patient admits alcohol use , Drinking is described as heavy , Patient denies illegal drug use , Patient denies sexually transmitted disease history , Patient denies tobacco use .","SOCIAL HISTORY : patient admits alcohol use,  drinking is described as heavy, patient denies ilegal drug use, patient denies sexually transmitted disease history, patient denies tabacco use."
Closure of stab wound .,closure of stab wound
"Description : Vitreous hemorrhage , right eye .",Description : leakage of blood around the right eye
It is doubtful that she has a lupus anticoagulant since she has been presenting with bleeding symptoms rather than clotting .,it is unlikley that she has a lupus anticoagulant since she has been presenting with bleeding symptoms rather than clotting
Operation and expected outcome risks and benefits were discussed with him prior to the surgery .,operation and expected outcome risks and benafits were discussed with him prior to the surgery
She died a few months later .,she dies a few months later
The tenderness has now completely resolved .,the tenderness has now completely resolved
Our elder child has just finished college .,our elder child has just finished college
LFTs are normal .,liver function tests are normal
The patient was prepped and draped in standard fashion .,the patient was prepped and draped in the standard fashion
Bicuspid aortic valve .,2 leaf aortic valve
"It is new in onset , just within the last week .","it is a new start, just within the last week"
He has a palpable defect about 6-8 cm proximal to the insertion site that is tender for him .,he has a feelable defect about 6-8cm close to the insertion site that is tender for him
* Pain may be located between the shoulder blades .,pain may be located between the shoulder blades
Only clear drainage was seen .,only clear drainage was seen
PROCEDURE : The patient 's legal guardian was talked to .,procedure : the patient's legal guardian was talked to .
Rectal exam was unremarkable .,rectal exam was normal
No other observed extrapyramidal symptoms or tardive dyskinesia .,no other coordination symptoms or stiff movements
"His laboratory basic metabolic panel , CBC , thyroid stimulating hormone were reported within normal limits .","his laboratory basic metabolic panel, Complete blood count, thyroid stimulating hormone were reported within normal limits."
She is a student .,she is a student
EXTREMITIES : Show no clubbing or cyanosis .,extremities : show no clubbing or blueish skin
JOINT PLAY : Unable to be assessed secondary to the patient 's extreme tenderness and guarding of the ankle joint .,Joint play : unable to be assessed because of the patient's extreme tenderness and of the ankle joint
Hallux abductovalgus deformity with bunion of the left foot .,big toe has a bunion on the left foot
In 4/94 she developed stress urinary incontinence which spontaneously resolved in June .,In x she developed stress incontinence with got better by itself in June
Description : CT Abdomen & Pelvis W & WO Contrast,description : CT abdomen & Pelvis with and without contrast
"86 , BUN and creatinine within normal limits , potassium normal limits .","86, blood urea nitrogen and creatinine within normal limits, potassium normal limits"
The oropharynx showed that the mucosa was moist .,the throat showed that the mucosa was moist
Cataract status post cataract surgery .,cataract status post cataract surgery
"CONCLUSION : Following my dental surgery , the patient continued to intubated and was prepped for oral surgery procedures by Dr. X and his associates .","CONCLUSION : Following my dental surgery , the patient continued to breath through a tube and was prepped for oral surgery procedures by Dr. X and his associates ."
"At this time , we were unable to discontinue the patient 's inhaled steroids that she is using for her asthma .","At this time , we were unable to stop the patient 's inhaled steroids that she is using for her asthma ."
Hemostasis was assured and the patient was taken to recovery room in stable condition .,bleeding was stopped and checked and the patient was taken to recovery room in stable condition .
He felt that she did not have an impingement syndrome .,he felt that she did not have a frozen shoulder
Motor : minimal spontaneous movement of the 4 extremities .,motor :  minimal movement of the arms and legs
"Cardiac : Regular rate and rhythm without audible murmurs , rubs or gallops .","cardiac : regular rate and rhythm with no murmurs, rubs or gallops"
Evaluation revealed no further bleeding .,evaluation revealed no more bleeding
Mother wished to proceed with the surgery .,mother wished to proceed with the surgery
"Unable to obtain the place , location , anatomy , and the year it was performed .","unable to obtain the place, location, anatomy and the yesr it was performed."
Fingerstick blood glucoses are reviewed and are at target .,finger prick blood glucose test are reviewed and are on target
REASON FOR ADMISSION : Hepatic encephalopathy .,REASON FOR ADMISSION : decline in brain function due to liver disease
"Stomach itself appeared viable , there was no necrotic sections .","stomach itself appeared viable, there was no dead sections"
Other vital signs are all within normal limits .,other vital signs were normal
The patient has noted some lightheadedness as well as chest discomfort and shortness of breath when atrial flutter recurred .,The patient has noted some lightheadedness as well as chest discomfort and shortness of breath when heart flutter recurred .
The tourniquet was deflated .,the tourniquet was deflated
Remote history of lung cancer with prior resection of the left upper lobe .,Remote history of lung cancer with prior removal of the left upper lobe .
"O - On examination , the lateral aspect of her left great toenail is deeply ingrown .","O - On examination , the lateral aspect of her left toenail is  ingrown ."
UROLOGICAL : Frequency .,Urological :  need to urinate often.
"ASSESSMENT : The patient is a 63-year-old gentleman with multiple neurologic and nonneurologic symptoms including numbness , gait instability , decreased dexterity of his arms and general fatigue .","Assessment : The patient is a 63-year-old gentleman with multiple nerve symptoms including numbness, walking instability, reduced fine motor skills of his arms and general fatigue."
"She also has very poorly controlled hypertension , diabetes mellitus and she also underwent a laparoscopic right adrenalectomy due to an adrenal adenoma in January , 2006 .","She also has very poorley controlled hypertensions, diabetes and she also underwent a laproscopic right adrenal removal due to adrenal mass in January, 2006"
"In the past , he has been on hydroxyurea and interferon but did not tolerate both of them .","In the past, he has been on hydroxyurea and interferon but did not tolerate both of them"
"Other problem was the patient 's blood pressure , which on 09/05/2007 was found at 180/90 .","other problem was the patient's blood pressure, which on 09/05/2007 was found at 180/90"
We will send a PSA level and if needed may be a urology consult .,we will send a PSA level and if needed may be a urology consult
The patient 's resting electrocardiogram demonstrated no ischemic changes .,the patient's resting electrocardiogram showed no reduced blood changes
Sample Name : Blepharoplasty,Sample Name : Removal of portion of eyelid
This was removed and reexamination of the nose was done and there was absolutely no foreign body left behind or residual .,this was removed and reexamination of the nose was done and there was absolutely no foreign body left behind of residual
Extremities : Revealed no edema .,Extremities : revealed no swelling
Partial plantar fasciotomy .,Partial removal of the foot tendons
There needs to be a discussion as to whether or not he would be better off with the tooth extraction prior to radiation .,there needs to be a discussion as to whether or not he would be better off with the tooth extraction before radiation
"INDICATIONS FOR OPERATION : Headaches , full subtemporal site .","Indications for operation : Headaches, just above the ears"
PREOPERATIVE DIAGNOSIS : Right pectoralis major tendon rupture .,diagnosis during operation : right pectoralis major muscle rupture
We will start amiodarone to keep from going back into atrial fibrillation .,we will start with amiodarone to keep from going back into abnromal heart rhythum
Elevated liver function tests .,high Liver function tests
Metastatic carcinoma of the bladder .,spreading cancer of the bladder
No psoriasis .,no patches of abnormal skin
Weak left corneal response .,weak left blink relfex
I would have to discuss with the family before undertaking any workup for multiple myeloma or other malignancy .,I would have to discuss with the family before undertaking any workup for multiple myeloma or other cancer
Sample Name : Weight Gain and Edema,Sample Name : Weight Gain and swelling
SENSORY : Unremarkable .,SENSORY : normal
"HISTORY : The patient is a 71-year-old black female who had a routine mammogram , which demonstrated suspicious microcalcifications in the left breast .","HISTORY : The patient is a 71-year-old black female who had a routine mammogram , which demonstrated suspicious calcium deposits in the left breast"
Radial pulses intact .,Radial pulses present
The CBC was normal with a white count of 9 .,the complete blood count was normal with a white count of 9
Oropharynx has ET tube in place .,mouth has endotracheal tube in place
Immediate hyperemia was noted on the entire right lower extremity upon deflation of the cuffs .,Immediate excess blood was noted on the entire right lower extremity upon delfation of the cuffs
"No synovitis , arthritis or gait disturbance .","No inflammation, arthritis or walking changes"
"There is no antalgia , spasticity , or ataxia .","there is no back pain, continous contraction or changsin co-ordination"
"Cardiovascular : Regular rate and rhythm of the heart without any appreciable murmur , rub or gallop .","Cardiovascular : Regular rate and rhythm of the heart without any  murmur , rub or gallop heard"
Sample Name : Prostatectomy,Sample Name : removal of the prostate
PAST MEDICAL HISTORY : chronic obstructive pulmonary disease and hypertension .,PAST MEDICAL HISTORY : chronic obstructive pulmonary disease and high blood pressure
"No chest pain , shortness of breath , abdominal pain or back pain .","No chest pain , shortness of breath , tummy pain or back pain"
Preoperative antibiotics were given for prophylaxis against surgical infection .,Preoperative antibiotics were given for to prevent  against surgical infection .
There is no evidence of erythema .,There is no evidence of redness
Description : Laparoscopic appendectomy .,Description : key hole surgery to remove the appendix
We did also request that he obtain a gallium scan to see if there was any evidence of an unsuspected neoplasm .,We did also request that he obtain a gallium scan to see if there was any evidence of an unsuspected cancer
There was no hematoma .,There was no collection of blood
"Resolved , continue intravenous fluids .","Resolved , continue fluids through the vein"
Ears : Tympanic membranes are clear .,Ears : ear drums are clear .
At that time he could not do any type of activity secondary to the pain .,At that time he could not do any type of activity bwcause of  the pain .
POSTOPERATIVE diagnosis : Stress urinary incontinence .,POSTOPERATIVE diagnosis : Stress loss of control of peeing
There was severe general overgrowth of spondylitic spurs .,There was severe general overgrowth of wear and tear to the spine .
"PLANS : In the meantime , if it is also that the possible nasal obstruction is contributing to snoring and obstructive hypopnea .","PLANS : In the meantime , if it is also that the possible blocked nose is contributing to snoring and difficulty breathing during sleep ."
Diffuse esophageal dilatation/hematemesis .,Diffuse throat widening and bleeding
Right femoral neck fracture .,broken right femoral neck
No carotid bruits .,no carotid artery bruits
The patient had no evidence of distal esophagitis or ulcers .,The patient had no evidence of inflammation of the throat or ulcers .
PREOPERATIVE DIAGNOSIS : Possible inflammatory bowel disease .,before operation diagnosis : Possible inflammatory bowel disease .
"Moderate peripheral effusion with early tamponade , probably secondary to lung cancer .","Moderate fluid around the lung with pressure , probably secondary to lung cancer ."
Gastrointestinal prophylaxis .,Gastrointestinal prevention
INDICATION FOR OPERATION : The patient is a 58-year-old female who was involved in an auto versus a tree accident on 6/15/2009 .,INDICATION FOR OPERATION : The patient is a 58-year-old female who was involved in an car accident with a tree  on 6/15/2009 .
There is no obvious murmur .,There is no obvious heart murmur .
Elective male sterilization via bilateral vasectomy .,Elective male sterilization via bilateral removal of sperm tubes
REVIEW OF SYSTEMS : All other systems reviewed & are negative .,REVIEW OF SYSTEMS : All other systems reviewed & are normal
Arthritis of the right knee .,joint inflammation of the right knee .
Right flank pain .,Right flank pain
The patient is obese with significant ankle edema .,The patient is obese with significant ankle swelling
Other systems reviewed and are negative .,Other systems reviewed and are normal
ALLOWED CONDITION : Right shoulder sprain and right rotator cuff tear ( partial ) .,ALLOWED CONDITION : Right shoulder sprain and right shoulder rotator cuff tear ( partial ) .
Gait : She was mildly abnormal .,walking : She was mildly abnormal .
Evaluate for C diff .,check for clostridium difficile infection
HISTORY OF PRESENT ILLNESS : The patient is a 68-year-old Caucasian male with a history of gross hematuria .,HISTORY OF PRESENT ILLNESS : The patient is a 68-year-old Caucasian male with a history of blood in the urine .
"There is obvious risk both due to prosthetic aortic valve and paroxysmal atrial fibrillation with continuation of anticoagulation ; however , the risk of uncontrolled bleeding is essentially worse .","There is obvious risk both due to prosthetic aortic valve and intermittent atrial fibrillation with continuation of blood thinning ; however , the risk of uncontrolled bleeding is essentially worse ."
Lateral views show a patent airway .,lateral views show an open airway
3 ) excision of lip lesion 1 year ago .,3 ) removal of lip lesion 1 year ago .
"The patient felt slightly dizziness , but there was no chest pain or EKG changes .","The patient felt slightly dizziness , but there was no chest pain or electrocardiogram changes ."
POSTOPERATIVE DIAGNOSIS : Right pleural effusion with respiratory failure and dyspnea .,POSTOPERATIVE DIAGNOSIS : Right fluid in the lung with respiratory failure and difficulty breathing
"Under conditions of high humidity , the rate of evaporation of sweat from the skin decreases .","With a higher humidity , the rate of evaporation is less ."
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .","This can cause illnesses such as altitude sickness , High altitude pulmonary edema ( fluid in the lungs ) , and High altitude cerebral edema ( fluid in the brain , causing headaches and confusion ) ."
"In 1921 , Buck 's mother died of a tropical disease , sprue , and shortly afterward her father moved in .",Buck 's mother died in 1921 of a disease called sprue .
"In 1920 , the Bucks had a daughter , Carol , afflicted with phenylketonuria .","In 1920 , they had a daughter ."
"Arm-onset patients may experience difficulty with tasks requiring manual dexterity such as buttoning a shirt , writing , or turning a key in a lock .","Other limb onset patients first see the effects of the disease on a hand or arm as they have a difficult time with simple tasks requiring hand dexterity , or ability to move small things , such as buttoning a shirt , writing , or turning a key in a lock ."
"Other presenting symptoms include trouble swallowing , cramping , or stiffness of affected muscles ; muscle weakness affecting an arm or a leg ; and\/or slurred and nasal speech .","The earliest symptoms may include twitching , cramping , or stiffness of muscles ; muscle weakness affecting an arm or a leg ; slurred and strange-sounding nasal speech ; or having a difficult time chewing or swallowing ."
The disorder causes muscle weakness and atrophy throughout the body due to the degeneration of the upper and lower motor neurons .,The disorder causes muscle weakness and muscle shrinking ( atrophy ) throughout the body .
"About 75 % of people contracting the disease experience `` limb onset '' ALS , i.e. , first symptoms in the arms or legs .",About 75 % of people have limb onset ALS .
"Patients with the leg onset form may experience awkwardness when walking or running or notice that they are tripping or stumbling , often with a `` dropped foot '' which drags gently along the ground .","In some of these cases , symptoms first affect one of the legs , and patients have awkwardness when walking or running or they notice that they are tripping or stumbling more often ."
"Susceptible animals include cattle , water buffalo , sheep , goats , pigs , antelope , deer , and bison .","Foot-and-mouth disease virus causes the disease which can infect domestic animals such as cattle , pigs , sheep , goats and deer ."
North America and Australia have been free of FMD for many years .,"While the disease is widespread around the world , North America , Central America , Australia , New Zealand , Japan , Chile , and many countries in Europe are considered free of FMD ."
"Just as humans may spread the disease by carrying the virus on their clothes and bodies , animals that are not susceptible to the disease may still aid in spreading it .","However , humans can spread FMD by carrying the virus on their clothes and body ."
"Risk of STI infection , however , is generally considered significantly lower for oral sex than for vaginal or anal sex , with HIV transmission considered the lowest risk with regard to oral sex .","The risk from most of these types of infection , however , is generally considered far lower than that associated with vaginal or anal sex ."
"According to a computer simulation run by Henri Leridon , PhD , an epidemiologist with the French Institute of Health and Medical Research , of women trying to get pregnant , without using fertility drugs or in vitro fertilization Studies of actual couples trying to conceive have come up with higher results : one 2004 study of 770 European women found that 82 % of 35-to-39-year-old women conceived within a year , while another in 2013 of 2,820 Danish women saw 78 % of 35-to-40-year-olds conceive within a year .","According to Henri Leridon , PhD , an epidemiologist with the French Institute of Health and Medical Research , of women trying to get pregnant , without using fertility drugs or in vitro fertilization : The use of fertility drugs and\/or in vitro fertilization can increase the chances of becoming pregnant at a later age ."
The average age of menarche in the United States is about 12.5 years .,"In the United States the average age of menarche ( first period ) is about 12.5 years. , However , in most girls , menarche does not signal that ovulation has occurred ."
"One study in children found that 60 % had a history of previous atopic diseases , and of those who die from anaphylaxis more than 90 % have asthma .",One study in children with anaphylaxis found that 60 % had a history of previous atopic diseases .
"Worldwide , 0.05-2 % of the population is estimated to have anaphylaxis at some point in life , and rates appear to be increasing .","Worldwide , about 0.05-2 % of people have anaphylaxis at some point in their lives ."
"While a fast heart rate caused by low blood pressure is more common , a Bezold-Jarisch reflex has been described in 10 % of cases , where a slow heart rate is associated with low blood pressure .",( The combination of a slow heart rate and low blood pressure is known as Bezold-Jarisch reflex ) .
Anaphylactic shock is associated with systemic vasodilation that causes low blood pressure which is by definition 30 % lower than the person 's baseline or below standard values .,"Anaphylactic shock happens when blood vessels get wider throughout most of the body ( systemic vasodilation ) , which causes low blood pressure that is at least 30 % lower than the person 's normal blood pressure or 30 % below standard values ."
"In the immunologic mechanism , immunoglobulin E ( IgE ) binds to the antigen ( the foreign material that provokes the allergic reaction ) .","When anaphylaxis is caused by an immune response , immunoglobulin E ( IgE ) binds to the foreign material that starts the allergic reaction ( the antigen ) ."
Non-immunologic mechanisms involved substances that directly cause the degranulation of mast cells and basophils .,"When anaphylaxis is not caused by in immune response , the reaction is due to an agent that directly damages mast cells and basophils , causing them to release histamine and other substances that are usually associated with an allergic reaction ( degranulation ) ."
"The most common areas affected include : skin ( 80-90 % ) , respiratory ( 70 % ) , gastrointestinal ( 30-45 % ) , heart and vasculature ( 10-45 % ) , and central nervous system ( 10-15 % ) with usually two or more being involved .","The most common areas affected include : skin ( 80-90 % ) , lungs and breathing pathways ( 70 % ) , stomach and intestines ( 30-45 % ) , heart and blood vessels ( 10-45 % ) , and central nervous system ( 10-15 % ) ."
The wheezing is typically caused by spasms of the bronchial muscles while stridor is related to upper airway obstruction secondary to swelling .,Low-pitched breathing is typically due to spasms of the muscles in the lower part of the airway ( bronchial muscles ) .
"On a mechanistic level , anaphylaxis is caused by the release of mediators from certain types of white blood cells triggered either by immunologic or non-immunologic mechanisms .",Anaphylaxis is due to the release of mediator proteins from certain types of white blood cells .
"The cause of primary spontaneous pneumothorax is unknown , but established risk factors include male sex , smoking , and a family history of pneumothorax .",The cause of spontaneous pneumothorax is not known .
This condition is a medical emergency that can cause steadily worsening oxygen shortage and low blood pressure .,Pneumothorax is a medical emergency .
The reason for the speedy spread of the disease was the increase of rats infected by fleas carrying the disease .,"The reason for the speedy spread of the disease was the increase of rats infected by fleas carrying the disease ) The food consumed by the dinvery rich in this period consisted largely of venison , and often of blackbirds and larks ."
"He moved with his assistant Martha to Cold Spring Harbor , New York , in 1950 to join the Carnegie Institution of Washington 's Department of Genetics , where he performed the famous Hershey-Chase experiment with Martha Chase in 1952 .",There he performed the famous Hershey-Chase blender experiment with Martha Chase in 1952 .
"Shanty towns have high rates of crime , suicide , drug use and disease .","Residents of shanty towns often have poor health , lack education , suffer from high levels of crime and suicide , and have shorter life expectancy ."
"She attained a scholarship to the Italia Conti Academy , but after an early eating disorder , she gave up acting at 13 and attended Hampstead School .",She won a scholarship to the Italia Conti Academy .
"Haemophilia B ( factor IX deficiency ) occurs in around 1 in about 20,000-34 ,000 male births .","Haemophilia B happens in about 1 in every 20,000-34 ,000 male births ."
"Haemophilia A ( clotting factor VIII deficiency ) is the most common form of the disorder , present in about 1 in 5,000-10 ,000 male births .","There are 3 types of hemophilia : Haemophilia A happens in about 1 in 5,000-10 ,000 male births ."
"A hemophiliac does not bleed more intensely than a person without it , but can bleed for a much longer time .","They do not bleed more than a normal person , but they bleed for much longer ."
"Eisenstein 's health was also failing : he was struck by a heart attack during the making of this picture , and soon died of another at the age of 50 .",Eisenstein 's health was also failing .
"Infection in humans and other warm-blooded animals can occur Although T. gondii can infect , be transmitted by , and asexually reproduce within humans and virtually all other warm-blooded animals , the parasite can sexually reproduce only within the intestines of members of the cat family ( felids ) .",p77 Infection in humans and other warm-blooded animals can occur The parasite can only sexually reproduce in the intestines of members of the cat family ( felids ) .
"In humans , it is one of the most common parasites ; serological studies estimate that up to a third of the global population has been exposed to and may be chronically infected with T. gondii , although infection rates differ significantly from country to country .",Blood test show that up to a third of the world population has been or is infected with T. gondii .
"Based on evidence of osteoarthritis in the lumbar vertebrae , eburnation , and severe wear on the teeth with pulp exposure , it seems likely that LM3 was quite old ( around 50 years old ) when he died .","Based on this , it is likely that LM3 was quite old ( around 50 years old ) when he died ."
"Special dishes are also served on recovery from serious illness for example when someone makes a full recovery from Chicken Pox , it is common to make an offering and make `` mitho lolo '' , a sweet griddle-roasted flatbread : the dough is wheat flour mixed with oil ( or ghee ) and sugar syrup flavored with ground cardamom .","If someone gets chicken pox and after it is gone , it is common to make an offering and make ` mitho lolo ' ."
"In other cases , treating a disease or controlling a pathogen can be vital to preventing its spread to others , such as during an outbreak of infectious disease , or contamination of food or water supplies .","In outbreaks of an infectious disease , treating a disease may be vital to preventing it in others ."
"Dramatic increases in average life span in the late 19th century and 20th century , is widely credited to public health achievements , such as vaccination programs and control of many infectious diseases including polio , diphtheria , yellow fever and smallpox ; effective health and safety policies such as road traffic safety and occupational safety ; improved family planning ; tobacco control measures ; and programs designed to decrease non-communicable diseases by acting on known risk factors such as a person 's background , lifestyle and environment .","The increase in average life span in the 20th century is credited to public health achievements , such as vaccination programs and control of infectious diseases , effective safety policies of motor-vehicle and occupational safety , improved family planning , chlorination of drinking water , smoke-free measures , and programs on decreasing chronic disease such as cancer , heart disease and more physical exercise ."
"Public health communications programs , vaccination programs , and distribution of condoms are examples of common public health measures .","Public health intervention prevents rather than treats a disease through surveillance of cases and promotes healthy behaviors such as hand washing , vaccination programs and distribution of condoms ."
Sudden infant death syndrome ( SIDS ) also known as cot death or crib death is the sudden death of an infant that is not predicted by medical history and remains unexplained after a thorough forensic autopsy and detailed death scene investigation .,Sudden infant death syndrome ( SIDS ) is the sudden and unexpected death of a human baby which is unexplained even after an autopsy and investigation .
In her first year of medical studies at the University of Sydney she suffered dermatitis from surgical soap and was told to abandon her dreams of becoming a medical doctor .,In her first year of medical studies at the University of Sydney she suffered dermatitis .
"Carl Ransom Rogers ( January 8 , 1902 - February 4 , 1987 ) was an influential American psychologist and among the founders of the humanistic approach ( or client-centered approach ) to psychology .","Carl Ransom Rogers ( January 8 , 1902 - February 4 , 1987 ) , was a 20th century influential humanistic psychologist ."
"However , he is soon terrified to see the Professor bringing home a human brain and removing the pituitary gland ... The novel has been interpreted both as a satire on the Communist attempts to create a New Soviet man and as a criticism of eugenics .","However , he is soon terrified to see the Professor bringing home a human brain and removing the pituitary gland ..."
In 1914 Adams 's father died of a stroke .,His father died in 1914 and Adams was brought up by his mother .
"One third of the world 's population is thought to have been infected with M. tuberculosis , with new infections occurring in about 1 % of the population each year .",Experts believe that one third of the world population is infected with M. tuberculosis .
"The rates of tuberculosis in different areas varies across the globe ; about 80 % of the population in many Asian and African countries tests positive in tuberculin tests , while only 5-10 % of the United States population tests positive .","About eighty percent of the population in many Asian and African countries test positive in tuberculin tests , but only five to ten percent of the United States ."
Totally drug-resistant TB is resistant to all currently used drugs .,There is a form of tuberculosis that is resistant to all drugs .
"Tuberculosis , MTB , or TB ( short for tubercle bacillus ) , in the past also called phthisis , phthisis pulmonalis , or consumption , is a common , and in many cases fatal , infectious disease caused by various strains of mycobacteria , usually Mycobacterium tuberculosis .","TB is caused by several types of mycobacteria , usually Mycobacterium tuberculosis ."
"Sunderland , a main trading port at the time , was the first British town to be struck with the ` Indian cholera ' epidemic .",It was the first British town to be affected by ` Indian cholera ' epidemic .
