medical,simple
He presented with melena and was referred for a gastrointestinal evaluation.,"He had melena (black, tarry stools) and was referred for a gastrointestinal evaluation (digestive system check)."
The patient underwent a thyroidectomy due to a suspicious thyroid nodule.,The patient had a thyroidectomy (surgery to remove the thyroid) due to a suspicious thyroid nodule (lump in the thyroid).
She was diagnosed with endometriosis and treated with laparoscopic surgery.,She was diagnosed with endometriosis (a condition where tissue grows outside the uterus) and treated with laparoscopic surgery (minimally invasive surgery).
The patient presented with hemoptysis and was referred for a chest CT scan.,The patient had hemoptysis (coughing up blood) and was referred for a chest CT scan (detailed imaging of the chest).
He was treated for benign paroxysmal positional vertigo with Epley maneuvers.,He was treated for benign paroxysmal positional vertigo (a type of dizziness) with Epley maneuvers (head movements to reduce dizziness).
The patient was diagnosed with peripheral artery disease and started on antiplatelet therapy.,The patient was diagnosed with peripheral artery disease (narrowing of the arteries in the limbs) and started on antiplatelet therapy (medication to prevent blood clots).
She presented with dysmenorrhea and was prescribed nonsteroidal anti-inflammatory drugs.,"She had dysmenorrhea (painful periods) and was prescribed nonsteroidal anti-inflammatory drugs (NSAIDs, medication to reduce pain and inflammation)."
The patient was diagnosed with psoriasis and treated with topical corticosteroids.,The patient was diagnosed with psoriasis (a skin condition) and treated with topical corticosteroids (skin creams).
He was treated for acute appendicitis with an appendectomy.,He was treated for acute appendicitis (sudden inflammation of the appendix) with an appendectomy (surgery to remove the appendix).
The patient presented with jaundice and was evaluated for hepatic dysfunction.,The patient had jaundice (yellowing of the skin and eyes) and was evaluated for hepatic dysfunction (liver problems).
She was diagnosed with chronic sinusitis and recommended sinus surgery.,She was diagnosed with chronic sinusitis (long-term sinus infection) and recommended sinus surgery (surgery to clear the sinuses).
The patient underwent a mastectomy due to breast cancer.,The patient had a mastectomy (surgery to remove the breast) due to breast cancer.
He was diagnosed with bipolar disorder and started on mood stabilizers.,He was diagnosed with bipolar disorder (a mental health condition) and started on mood stabilizers (medication to control mood swings).
The patient presented with nephrolithiasis and was scheduled for lithotripsy.,The patient had nephrolithiasis (kidney stones) and was scheduled for lithotripsy (a procedure to break up the stones).
She was treated for bacterial vaginosis with oral antibiotics.,She was treated for bacterial vaginosis (an infection in the vagina) with oral antibiotics (antibiotics taken by mouth).
The patient was diagnosed with rotator cuff tendinitis and prescribed physical therapy.,The patient was diagnosed with rotator cuff tendinitis (shoulder inflammation) and prescribed physical therapy (exercises to improve movement and strength).
He presented with aphasia and was referred to a speech therapist.,He had aphasia (difficulty speaking or understanding speech) and was referred to a speech therapist.
The patient was treated for scabies with topical permethrin cream.,The patient was treated for scabies (a skin infestation) with topical permethrin cream (a cream to kill the mites).
She was diagnosed with fibromyalgia and started on pain management therapy.,She was diagnosed with fibromyalgia (a condition causing widespread pain) and started on pain management therapy (treatment to manage pain).
The patient presented with alopecia areata and was treated with corticosteroid injections.,The patient had alopecia areata (patchy hair loss) and was treated with corticosteroid injections (medication to reduce inflammation).
He was diagnosed with chronic hepatitis C and started on antiviral therapy.,He was diagnosed with chronic hepatitis C (a long-term liver infection) and started on antiviral therapy (medication to fight the virus).
The patient presented with varicose veins and was recommended sclerotherapy.,The patient had varicose veins (swollen veins) and was recommended sclerotherapy (a procedure to treat the veins).
She was treated for allergic rhinitis with intranasal corticosteroids.,She was treated for allergic rhinitis (hay fever) with intranasal corticosteroids (nose spray medication).
The patient was diagnosed with celiac disease and advised to follow a gluten-free diet.,"The patient was diagnosed with celiac disease (an autoimmune disorder) and advised to follow a gluten-free diet (avoiding gluten, a protein found in wheat)."
He presented with hyperthyroidism and was started on antithyroid medication.,He had hyperthyroidism (overactive thyroid) and was started on antithyroid medication (medication to reduce thyroid activity).
The patient underwent a cardiac catheterization to assess for coronary artery disease.,The patient had a cardiac catheterization (a procedure to check the heart and its blood vessels) to assess for coronary artery disease (blocked heart arteries).
She was diagnosed with irritable bowel syndrome and advised dietary modifications.,She was diagnosed with irritable bowel syndrome (a digestive disorder) and advised dietary modifications (changes to her diet).
The patient presented with peripheral neuropathy and was prescribed gabapentin.,The patient had peripheral neuropathy (nerve damage) and was prescribed gabapentin (medication to relieve nerve pain).
He was treated for acute pharyngitis with oral antibiotics.,He was treated for acute pharyngitis (sore throat) with oral antibiotics (antibiotics taken by mouth).
The patient was diagnosed with cervical spondylosis and recommended physical therapy.,The patient was diagnosed with cervical spondylosis (wear and tear in the neck) and recommended physical therapy (exercises to improve movement and strength).
She presented with Raynaud's phenomenon and was advised to avoid cold exposure.,She had Raynaud's phenomenon (reduced blood flow to fingers and toes) and was advised to avoid cold exposure.
He was diagnosed with chronic venous insufficiency and recommended compression stockings.,He was diagnosed with chronic venous insufficiency (poor blood flow in the veins) and recommended compression stockings (special socks to improve blood flow).
The patient underwent a paracentesis to relieve ascites.,The patient had a paracentesis (procedure to remove fluid from the abdomen) to relieve ascites (fluid buildup in the abdomen).
She was diagnosed with acute lymphoblastic leukemia and started on chemotherapy.,She was diagnosed with acute lymphoblastic leukemia (a type of blood cancer) and started on chemotherapy (cancer treatment).
The patient presented with hypoglycemia and was treated with glucose tablets.,The patient had hypoglycemia (low blood sugar) and was treated with glucose tablets (sugar tablets).
He was diagnosed with obstructive uropathy and underwent a nephrostomy.,He was diagnosed with obstructive uropathy (blocked urine flow) and underwent a nephrostomy (procedure to drain urine from the kidney).
The patient presented with hypercalcemia and was treated with intravenous fluids and bisphosphonates.,The patient had hypercalcemia (high calcium levels in the blood) and was treated with intravenous fluids (IV fluids) and bisphosphonates (medication to reduce calcium levels).
She was diagnosed with ankylosing spondylitis and started on anti-inflammatory medication.,She was diagnosed with ankylosing spondylitis (a type of arthritis) and started on anti-inflammatory medication (medication to reduce inflammation).
The patient was treated for seborrheic dermatitis with antifungal shampoo.,The patient was treated for seborrheic dermatitis (a skin condition causing dandruff) with antifungal shampoo (shampoo to reduce fungus).
He presented with costochondritis and was prescribed nonsteroidal anti-inflammatory drugs.,"He had costochondritis (inflammation of the chest cartilage) and was prescribed nonsteroidal anti-inflammatory drugs (NSAIDs, medication to reduce pain and inflammation)."
The patient was diagnosed with adhesive capsulitis and recommended physical therapy.,The patient was diagnosed with adhesive capsulitis (frozen shoulder) and recommended physical therapy (exercises to improve movement and strength).
She presented with uterine prolapse and was referred for pelvic floor therapy.,She had uterine prolapse (the uterus dropping into the vagina) and was referred for pelvic floor therapy (exercises to strengthen the pelvic muscles).
The patient was treated for sciatica with nonsteroidal anti-inflammatory drugs.,"The patient was treated for sciatica (nerve pain in the lower back) with nonsteroidal anti-inflammatory drugs (NSAIDs, medication to reduce pain and inflammation)."
She presented with hyperemesis gravidarum and was hospitalized for intravenous fluids.,She had hyperemesis gravidarum (severe morning sickness) and was hospitalized for intravenous fluids (IV fluids).
The patient was diagnosed with macular degeneration and prescribed antioxidant vitamins.,The patient was diagnosed with macular degeneration (eye disease that affects vision) and prescribed antioxidant vitamins (vitamins to help slow the disease).
He underwent an esophagogastroduodenoscopy to investigate his dyspepsia.,He had an esophagogastroduodenoscopy (a procedure to look inside the digestive tract) to investigate his dyspepsia (indigestion).
The patient presented with polyuria and was evaluated for diabetes mellitus.,The patient had polyuria (excessive urination) and was evaluated for diabetes mellitus (a type of diabetes).
She was treated for allergic conjunctivitis with antihistamine eye drops.,She was treated for allergic conjunctivitis (eye allergy) with antihistamine eye drops (allergy eye drops).
The patient underwent a bronchoscopy to investigate chronic cough.,The patient had a bronchoscopy (a procedure to look inside the airways) to investigate chronic cough.
He was diagnosed with mitral valve prolapse and prescribed beta-blockers.,He was diagnosed with mitral valve prolapse (a heart valve problem) and prescribed beta-blockers (medication to slow the heart).
The patient presented with xerostomia and was advised to use saliva substitutes.,The patient had xerostomia (dry mouth) and was advised to use saliva substitutes (products to help moisten the mouth).
She was treated for tinea pedis with antifungal cream.,She was treated for tinea pedis (athlete's foot) with antifungal cream (medication to kill the fungus).
The patient was diagnosed with osteomyelitis and started on intravenous antibiotics.,The patient was diagnosed with osteomyelitis (bone infection) and started on intravenous antibiotics (antibiotics through an IV).
He presented with gynecomastia and was referred to an endocrinologist.,He had gynecomastia (enlarged breast tissue in men) and was referred to an endocrinologist (hormone specialist).
The patient underwent a craniotomy to remove a brain tumor.,The patient had a craniotomy (surgery to open the skull) to remove a brain tumor.
She was diagnosed with Ménière's disease and prescribed diuretics.,She was diagnosed with Ménière's disease (an inner ear disorder) and prescribed diuretics (medication to reduce fluid buildup).
The patient was treated for onychomycosis with oral antifungal medication.,The patient was treated for onychomycosis (nail fungus) with oral antifungal medication (antifungal pills).
He presented with esophageal varices and underwent band ligation.,He had esophageal varices (swollen veins in the esophagus) and underwent band ligation (a procedure to tie off the veins).
The patient was diagnosed with pleurisy and treated with anti-inflammatory medication.,The patient was diagnosed with pleurisy (inflammation of the lung lining) and treated with anti-inflammatory medication.
She underwent a hysteroscopy to evaluate abnormal uterine bleeding.,She had a hysteroscopy (a procedure to look inside the uterus) to evaluate abnormal uterine bleeding.
The patient presented with uveitis and was prescribed corticosteroid eye drops.,The patient had uveitis (inflammation of the eye) and was prescribed corticosteroid eye drops (anti-inflammatory eye drops).
He was diagnosed with ankylosing spondylitis and started on anti-inflammatory medication.,He was diagnosed with ankylosing spondylitis (a type of arthritis) and started on anti-inflammatory medication (medication to reduce inflammation).
The patient underwent a nephrectomy due to renal cell carcinoma.,The patient had a nephrectomy (surgery to remove a kidney) due to renal cell carcinoma (kidney cancer).
She was treated for a Bartholin's cyst with incision and drainage.,She was treated for a Bartholin's cyst (a cyst near the vaginal opening) with incision and drainage (cutting it open and letting it drain).
The patient presented with sialolithiasis and was referred for sialography.,The patient had sialolithiasis (salivary gland stones) and was referred for sialography (an imaging test of the salivary glands).
He was diagnosed with idiopathic thrombocytopenic purpura and treated with corticosteroids.,He was diagnosed with idiopathic thrombocytopenic purpura (a bleeding disorder) and treated with corticosteroids (anti-inflammatory medication).
The patient underwent a lumbar laminectomy for spinal stenosis.,The patient had a lumbar laminectomy (surgery to remove part of the spine) for spinal stenosis (narrowing of the spinal canal).
She was diagnosed with Sjogren's syndrome and advised to use artificial tears.,She was diagnosed with Sjogren's syndrome (an autoimmune disorder) and advised to use artificial tears (eye drops to moisten the eyes).
The patient presented with temporomandibular joint dysfunction and was referred for physical therapy.,The patient had temporomandibular joint dysfunction (jaw pain) and was referred for physical therapy (exercises to improve movement and reduce pain).
He was treated for cellulitis with intravenous antibiotics.,He was treated for cellulitis (a skin infection) with intravenous antibiotics (antibiotics through an IV).
The patient underwent a carpal tunnel release due to carpal tunnel syndrome.,The patient had a carpal tunnel release (surgery to relieve pressure on the nerve) due to carpal tunnel syndrome (nerve compression in the wrist).
She was diagnosed with hidradenitis suppurativa and treated with antibiotics.,She was diagnosed with hidradenitis suppurativa (a skin condition) and treated with antibiotics (medication to fight infection).
The patient presented with Bell's palsy and was treated with corticosteroids.,The patient had Bell's palsy (temporary facial paralysis) and was treated with corticosteroids (anti-inflammatory medication).
He was diagnosed with hemophilia and started on clotting factor replacement therapy.,He was diagnosed with hemophilia (a bleeding disorder) and started on clotting factor replacement therapy (medication to help blood clot).
The patient underwent a ureteroscopy to remove kidney stones.,The patient had a ureteroscopy (a procedure to look inside the ureter) to remove kidney stones.
She was treated for rosacea with topical metronidazole.,She was treated for rosacea (a skin condition causing redness) with topical metronidazole (a cream to reduce inflammation).
The patient was diagnosed with retinitis pigmentosa and referred to a genetic counselor.,The patient was diagnosed with retinitis pigmentosa (a genetic eye disorder) and referred to a genetic counselor (specialist in inherited diseases).
He presented with adhesive capsulitis and was prescribed physical therapy.,He had adhesive capsulitis (frozen shoulder) and was prescribed physical therapy (exercises to improve movement and strength).
The patient was treated for benign paroxysmal positional vertigo with Epley maneuvers.,The patient was treated for benign paroxysmal positional vertigo (a type of dizziness) with Epley maneuvers (head movements to reduce dizziness).
The patient presented with tinea corporis and was prescribed topical antifungal medication.,The patient had tinea corporis (ringworm) and was prescribed topical antifungal medication (medication to kill the fungus).
He was treated for paronychia with incision and drainage.,He was treated for paronychia (a nail infection) with incision and drainage (cutting it open and letting it drain).
The patient was diagnosed with chronic lymphocytic leukemia and started on chemotherapy.,The patient was diagnosed with chronic lymphocytic leukemia (a type of blood cancer) and started on chemotherapy (cancer treatment).
She presented with diverticulitis and was treated with antibiotics.,She had diverticulitis (infection of the colon pouches) and was treated with antibiotics (medication to fight infection).
The patient underwent a lithotripsy to break up kidney stones.,The patient had a lithotripsy (a procedure to break up kidney stones).
He was diagnosed with herpes zoster and prescribed antiviral medication.,He was diagnosed with herpes zoster (shingles) and prescribed antiviral medication (medication to fight the virus).
The patient presented with otitis externa and was given antibiotic ear drops.,The patient had otitis externa (swimmer's ear) and was given antibiotic ear drops.
She was diagnosed with Addison's disease and started on corticosteroid replacement therapy.,She was diagnosed with Addison's disease (a hormone disorder) and started on corticosteroid replacement therapy (medication to replace missing hormones).
The patient was treated for balanitis with topical antifungal cream.,The patient was treated for balanitis (inflammation of the penis) with topical antifungal cream (cream to kill the fungus).
He underwent a cystoscopy to investigate hematuria.,He had a cystoscopy (a procedure to look inside the bladder) to investigate hematuria (blood in the urine).
The patient was diagnosed with sarcoidosis and started on corticosteroids.,The patient was diagnosed with sarcoidosis (a disease causing inflammation) and started on corticosteroids (anti-inflammatory medication).
She was treated for trichomoniasis with oral metronidazole.,She was treated for trichomoniasis (a sexually transmitted infection) with oral metronidazole (antibiotic pills).
The patient presented with lumbar radiculopathy and was referred for physical therapy.,The patient had lumbar radiculopathy (nerve pain in the lower back) and was referred for physical therapy (exercises to improve movement and reduce pain).
He was diagnosed with chronic pancreatitis and advised to avoid alcohol.,He was diagnosed with chronic pancreatitis (long-term inflammation of the pancreas) and advised to avoid alcohol.
The patient was treated for hypokalemia with oral potassium supplements.,The patient was treated for hypokalemia (low potassium levels) with oral potassium supplements (potassium pills).
She presented with hyperhidrosis and was prescribed antiperspirant.,She had hyperhidrosis (excessive sweating) and was prescribed antiperspirant (a product to reduce sweating).
The patient underwent a tonsillectomy due to recurrent tonsillitis.,The patient had a tonsillectomy (surgery to remove the tonsils) due to recurrent tonsillitis (frequent throat infections).
He was diagnosed with aortic stenosis and referred for surgical evaluation.,He was diagnosed with aortic stenosis (narrowing of the heart valve) and referred for surgical evaluation (consideration for surgery).
The patient was treated for plantar fasciitis with physical therapy and orthotics.,The patient was treated for plantar fasciitis (heel pain) with physical therapy (exercises to improve movement and reduce pain) and orthotics (special shoe inserts).
She was diagnosed with vitiligo and referred to a dermatologist.,She was diagnosed with vitiligo (loss of skin color) and referred to a dermatologist (skin doctor).
The patient presented with epiglottitis and was treated with intravenous antibiotics.,The patient had epiglottitis (inflammation of the epiglottis) and was treated with intravenous antibiotics (antibiotics through an IV).
He was treated for pericarditis with nonsteroidal anti-inflammatory drugs.,"He was treated for pericarditis (inflammation of the lining around the heart) with nonsteroidal anti-inflammatory drugs (NSAIDs, medication to reduce pain and inflammation)."
The patient was diagnosed with Paget's disease of bone and started on bisphosphonates.,The patient was diagnosed with Paget's disease of bone (a bone disorder) and started on bisphosphonates (medication to strengthen bones).
She was treated for a ganglion cyst with aspiration.,She was treated for a ganglion cyst (a fluid-filled lump) with aspiration (draining the fluid).
The patient presented with encephalitis and was hospitalized for antiviral therapy.,The patient had encephalitis (brain inflammation) and was hospitalized for antiviral therapy (medication to fight the virus).
He was diagnosed with phimosis and referred for circumcision.,He was diagnosed with phimosis (tight foreskin) and referred for circumcision (surgery to remove the foreskin).
The patient was treated for a peritonsillar abscess with incision and drainage.,The patient was treated for a peritonsillar abscess (pus-filled pocket near the tonsils) with incision and drainage (cutting it open and letting it drain).
She presented with acromegaly and was referred to an endocrinologist.,She had acromegaly (excessive growth hormone) and was referred to an endocrinologist (hormone specialist).
The patient was diagnosed with optic neuritis and started on corticosteroids.,The patient was diagnosed with optic neuritis (inflammation of the optic nerve) and started on corticosteroids (anti-inflammatory medication).
He was treated for epididymitis with oral antibiotics.,He was treated for epididymitis (inflammation of the epididymis) with oral antibiotics (antibiotics taken by mouth).
The patient presented with cholangitis and was admitted for intravenous antibiotics.,The patient had cholangitis (infection of the bile ducts) and was admitted for intravenous antibiotics (antibiotics through an IV).
She was diagnosed with chondromalacia patellae and prescribed physical therapy.,She was diagnosed with chondromalacia patellae (softening of the cartilage under the kneecap) and prescribed physical therapy (exercises to improve movement and reduce pain).
The patient was treated for a Baker's cyst with aspiration.,The patient was treated for a Baker's cyst (fluid-filled lump behind the knee) with aspiration (draining the fluid).
He was diagnosed with pneumothorax and underwent chest tube insertion.,He was diagnosed with pneumothorax (collapsed lung) and underwent chest tube insertion (a tube placed in the chest to remove air).
The patient presented with cholesteatoma and was referred for surgical evaluation.,The patient had cholesteatoma (abnormal skin growth in the ear) and was referred for surgical evaluation (consideration for surgery).
She was diagnosed with myasthenia gravis and started on anticholinesterase medication.,She was diagnosed with myasthenia gravis (a muscle weakness disorder) and started on anticholinesterase medication (medication to improve muscle strength).
The patient was treated for herpes labialis with oral antiviral medication.,The patient was treated for herpes labialis (cold sores) with oral antiviral medication (antiviral pills).
He presented with balanoposthitis and was prescribed topical antibiotics.,He had balanoposthitis (inflammation of the penis and foreskin) and was prescribed topical antibiotics (antibiotic cream).
The patient was diagnosed with interstitial cystitis and advised to follow a bladder-friendly diet.,The patient was diagnosed with interstitial cystitis (bladder pain syndrome) and advised to follow a bladder-friendly diet (avoiding foods that irritate the bladder).
She was treated for cervicitis with oral antibiotics.,She was treated for cervicitis (inflammation of the cervix) with oral antibiotics (antibiotics taken by mouth).
The patient presented with pterygium and was referred to an ophthalmologist.,The patient had pterygium (a growth on the eye) and was referred to an ophthalmologist (eye doctor).
He was diagnosed with pyelonephritis and treated with intravenous antibiotics.,He was diagnosed with pyelonephritis (kidney infection) and treated with intravenous antibiotics (antibiotics through an IV).
The patient was treated for hyperuricemia with allopurinol.,The patient was treated for hyperuricemia (high uric acid levels) with allopurinol (medication to reduce uric acid).
She presented with temporomandibular joint disorder and was referred to a dentist.,She had temporomandibular joint disorder (jaw pain) and was referred to a dentist.
The patient was diagnosed with Barrett's esophagus and started on proton pump inhibitors.,The patient was diagnosed with Barrett's esophagus (a condition affecting the esophagus) and started on proton pump inhibitors (medication to reduce stomach acid).
He was treated for tinea capitis with oral antifungal medication.,He was treated for tinea capitis (scalp ringworm) with oral antifungal medication (antifungal pills).
The patient presented with aortic dissection and was admitted for emergency surgery.,The patient had aortic dissection (a tear in the aorta) and was admitted for emergency surgery.
She was diagnosed with polymyalgia rheumatica and started on corticosteroids.,She was diagnosed with polymyalgia rheumatica (a condition causing muscle pain) and started on corticosteroids (anti-inflammatory medication).
The patient was treated for a chalazion with warm compresses.,The patient was treated for a chalazion (a lump on the eyelid) with warm compresses (warm cloths).
He was diagnosed with polycystic kidney disease and referred to a nephrologist.,He was diagnosed with polycystic kidney disease (a genetic kidney disorder) and referred to a nephrologist (kidney doctor).
The patient presented with scleritis and was started on corticosteroids.,The patient had scleritis (inflammation of the white part of the eye) and was started on corticosteroids (anti-inflammatory medication).
She was treated for perioral dermatitis with topical antibiotics.,She was treated for perioral dermatitis (rash around the mouth) with topical antibiotics (antibiotic cream).
The patient was diagnosed with a pituitary adenoma and referred for neurosurgical evaluation.,The patient was diagnosed with a pituitary adenoma (a benign tumor in the pituitary gland) and referred for neurosurgical evaluation (consideration for surgery).
He presented with a rotator cuff tear and was referred for physical therapy.,He had a rotator cuff tear (shoulder injury) and was referred for physical therapy (exercises to improve movement and strength).
The patient was treated for prurigo nodularis with corticosteroid injections.,The patient was treated for prurigo nodularis (itchy lumps on the skin) with corticosteroid injections (anti-inflammatory medication).
She was diagnosed with hypoparathyroidism and started on calcium and vitamin D supplements.,She was diagnosed with hypoparathyroidism (low parathyroid hormone) and started on calcium and vitamin D supplements (pills to increase calcium and vitamin D levels).
The patient was treated for subungual hematoma with nail trephination.,The patient was treated for subungual hematoma (blood under the nail) with nail trephination (making a small hole in the nail to relieve pressure).
He presented with scleroderma and was referred to a rheumatologist.,He had scleroderma (a connective tissue disorder) and was referred to a rheumatologist (joint and muscle doctor).
The patient was diagnosed with Henoch-Schönlein purpura and advised to rest and take pain relievers.,The patient was diagnosed with Henoch-Schönlein purpura (a condition causing blood vessel inflammation) and advised to rest and take pain relievers.
She presented with vestibular neuritis and was prescribed vestibular rehabilitation exercises.,She had vestibular neuritis (inflammation of the balance nerve) and was prescribed vestibular rehabilitation exercises (exercises to improve balance).
